ST	penA	mtrR	porB	ponA	gyrA	parC	23S	NG-STAR_CC
156	53.002	1	11	1	1	3	100	90
157	14.001	10	3	100	100	100	100	42
158	44.001	16	10	1	1	10	100	158
159	38.001	10	3	100	100	1	100	42
160	14.002	29	1	100	100	7	6	178
161	14.002	5	1	100	100	7	6	1061
162	14.001	1	100	1	100	2	100	442
163	5.002	1	3	1	1	1	100	127
165	44.001	16	11	1	1	10	100	158
167	44.001	9	13	100	100	100	100	63
168	2.001	39	11	100	7	4	100	168
169	22.001	25	1	100	100	1	100	190
170	34.006	40	3	100	7	4	100	427
171	14.003	28	1	100	100	7	6	1061
172	14.002	28	1	100	100	7	6	1061
173	2.001	41	15	100	100	17	100	Ungroupable
174	14.001	29	4	100	100	7	100	178
175	13.001	19	1	1	1	9	100	38
176	2.002	39	100	100	10	2	100	231
177	12.004	1	8	1	1	3	100	127
178	14.001	29	1	100	100	7	100	178
179	14.001	29	1	100	100	7	2	178
180	18.001	19	4	1	7	3	8	1102
181	2.001	19	100	1	100	2	100	442
182	2.001	25	3	100	100	100	100	301
183	2.001	9	1	100	100	100	9	63
184	2.001	9	1	100	100	2	100	63
185	2.001	9	8	100	100	100	2	63
186	2.002	19	8	100	1	18	100	2209
187	2.004	25	3	100	100	100	2	2655
188	2.005	9	100	100	100	100	100	845
189	2.006	43	14	100	100	100	100	212
190	22.001	25	100	100	100	2	100	190
191	14.001	29	3	100	100	7	100	178
192	2.001	25	3	100	100	100	1	301
193	2.001	39	11	100	100	100	100	168
194	34.001	1	8	1	1	3	100	90
195	34.001	44	1	1	1	3	100	90
196	34.001	9	11	1	1	3	100	90
197	61.001	1	11	1	1	3	100	90
198	9.001	25	16	1	100	2	100	3043
199	5.002	1	8	1	7	3	100	199
200	43.002	16	13	1	7	3	100	345
201	18.001	19	8	1	1	9	100	38
202	2.002	19	8	1	7	3	1	73
203	18.001	1	8	1	7	15	2	428
204	9.001	1	8	1	1	15	100	127
205	15.002	25	1	100	100	2	100	3043
206	100.001	13	100	100	100	1	100	20
207	2.002	11	100	100	100	2	100	1958
208	2.001	1	13	1	1	3	100	127
209	12.001	1	3	1	1	3	100	127
210	2.001	27	1	100	100	100	2	63
211	2.001	39	100	100	100	100	100	63
212	2.001	39	14	100	100	100	100	63
213	2.001	39	1	100	100	100	100	63
214	62.001	3	1	100	100	2	2	307
215	1.001	5	11	100	100	1	100	20
216	2.001	48	100	100	100	19	10	2092
217	14.001	49	3	100	7	20	100	1662
218	5.002	2	8	1	1	3	100	127
219	2.001	46	1	100	100	1	100	63
220	46.001	16	3	1	100	2	100	395
221	21.001	47	8	1	7	21	100	221
222	63.001	1	100	1	100	2	2	137
223	2.001	9	1	100	100	100	1	63
224	2.001	50	1	1	100	1	2	2047
225	5.002	1	8	1	1	3	1	127
226	37.001	1	8	1	2	5	100	348
227	64.001	51	8	1	2	5	100	348
228	14.001	10	10	100	100	1	100	42
229	2.002	10	100	100	1	3	100	1271
230	22.006	15	100	100	100	7	100	352
231	2.002	42	100	100	10	2	100	1958
232	10.001	25	12	1	2	5	100	348
233	60.001	1	8	1	7	3	100	199
234	22.001	5	1	100	100	2	100	190
235	22.001	25	5	1	100	2	100	1115
236	19.001	19	5	100	100	1	100	1645
237	100.001	5	100	100	100	1	100	20
238	22.001	19	14	1	100	2	100	1115
239	22.001	25	100	100	100	1	100	190
240	2.001	25	1	100	100	100	100	63
241	2.001	9	3	100	1	3	100	301
242	2.001	1	11	100	100	100	100	213
243	12.001	19	11	1	100	1	100	Ungroupable
244	2.001	2	8	100	100	100	100	63
245	2.001	9	3	1	100	100	100	301
246	2.001	1	1	100	100	100	100	63
247	19.001	38	12	1	7	15	100	309
248	19.001	38	3	1	7	15	100	309
249	19.001	38	1	1	7	3	100	309
250	34.001	1	3	1	1	3	100	90
251	34.001	25	1	100	100	100	100	63
252	21.001	1	12	1	1	3	100	1118
253	2.002	1	1	1	1	3	100	127
254	34.001	1	12	1	1	3	100	90
255	34.001	2	8	1	1	3	100	90
256	34.001	1	14	1	1	3	100	90
257	5.002	50	8	1	1	3	100	127
258	5.002	1	9	1	1	3	100	127
259	13.001	19	11	1	100	1	100	452
260	5.002	1	4	1	1	3	100	127
261	22.001	25	1	1	6	1	100	169
262	12.001	1	8	1	100	3	100	127
