ST	penA	mtrR	porB	ponA	gyrA	parC	23S	NG-STAR_CC
1922	2.001	211	1	100	1	22	33	Ungroupable
1923	14.001	14	1	100	1	3	100	3400
1924	2.001	24	1	100	7	4	1	1487
1925	34.001	130	11	100	1	3	100	90
1926	19.001	38	37	1	7	15	100	309
1927	2.002	47	14	100	7	4	100	719
1928	2.001	47	1	100	7	4	1	1487
1929	2.002	10	3	100	1	89	100	1271
1930	2.002	10	3	100	1	102	100	1271
1931	19.001	10	14	1	7	26	100	455
1932	9.001	10	23	1	1	55	100	Ungroupable
1933	19.001	10	100	1	7	26	100	309
1934	2.002	18	14	1	1	4	100	1627
1935	19.001	18	3	1	7	102	100	1632
1936	19.001	18	100	1	100	89	100	1632
1937	19.001	18	3	1	1	4	100	4758
1938	2.002	40	3	100	7	4	100	427
1939	1.001	54	14	1	7	26	100	2732
1940	9.001	69	14	1	1	22	22	1543
1941	2.002	171	13	100	1	90	100	4728
1942	19.001	278	100	100	100	103	100	1645
1943	9.001	276	14	1	1	49	100	1054
1944	14.001	277	41	100	1	4	100	5508
1945	19.001	279	24	1	7	15	100	309
1946	2.002	280	14	1	1	4	100	1627
1947	2.028	40	13	100	7	4	100	426
1948	14.001	10	100	100	100	1	31	352
1949	2.029	25	11	1	2	22	100	Ungroupable
2141	34.001	291	11	1	1	3	100	90
2142	14.001	15	14	100	100	7	38	2028
2144	2.001	9	50	100	100	100	100	63
2173	2.002	304	13	100	1	18	100	2209
2175	14.001	10	100	100	100	1	37	352
2178	5.002	40	3	1	7	3	100	2148
2190	5.002	19	8	1	1	3	100	127
2203	2.001	24	13	100	100	2	2	55
2204	34.007	305	14	100	7	4	100	1124
2214	133.001	1	11	1	1	3	100	90
2216	136.001	3	1	100	100	2	100	307
2218	137.001	10	14	100	100	2	100	7004
2219	138.001	15	100	1	7	38	100	780
2222	140.001	49	1	100	7	20	100	801
2223	19.009	24	12	1	7	15	100	4422
2224	2.030	9	1	100	100	1	100	63
2228	44.004	16	100	1	1	45	100	931
2229	44.004	16	100	1	7	45	100	Ungroupable
2230	5.006	1	3	1	1	3	100	264
2231	67.002	10	14	100	100	1	100	42
2232	93.002	15	1	100	44	7	100	2053
2243	2.002	1	10	1	7	3	100	73
2244	2.002	1	8	1	7	6	1	3789
2245	5.002	1	9	1	7	3	100	199
2246	2.001	1	13	1	7	3	100	199
2247	5.002	1	10	1	7	3	100	199
2248	13.001	1	13	1	1	1	100	37
2249	2.001	1	4	1	1	22	100	958
2250	2.002	1	12	1	7	8	100	1143
2251	10.001	1	8	1	7	5	100	348
2252	13.002	1	8	1	7	2	100	199
2253	17.001	1	10	1	1	3	100	90
2254	17.001	1	11	1	1	3	100	90
2255	2.002	19	8	1	1	3	100	73
2256	13.001	1	10	1	7	3	100	199
2257	18.001	1	11	1	1	3	100	90
2258	12.001	1	12	1	7	3	100	1143
2259	13.004	1	11	1	7	3	100	2431
2260	21.001	1	4	1	7	3	100	199
2261	17.001	1	8	1	7	3	100	199
2262	2.002	19	1	8	1	7	3	Ungroupable
2263	13.002	1	13	1	7	3	8	1696
2264	5.002	16	4	1	7	6	100	2430
2265	5.002	19	12	1	1	3	100	127
2266	21.001	1	9	1	7	3	100	199
2267	5.002	19	8	1	7	3	100	199
2268	5.002	1	13	1	1	22	100	2430
2269	5.002	16	11	1	7	3	100	2431
2270	18.001	1	11	1	7	6	1	3789
2271	2.001	1	13	1	7	22	100	517
2272	17.001	16	8	1	1	3	100	127
2273	13.001	19	4	1	7	3	100	1179
2274	10.001	19	12	1	2	5	100	348
2275	18.001	16	4	1	7	3	100	428
2276	21.001	1	12	1	7	8	100	1118
2277	13.001	19	8	1	7	3	100	497
2278	13.002	19	8	1	7	3	100	199
2279	18.003	1	21	1	7	3	100	1696
2280	13.002	1	13	1	21	3	100	1696
2281	13.001	19	4	1	7	9	100	38
2282	12.001	16	11	1	7	6	1	2336
2283	12.001	1	8	1	7	24	24	3264
2284	17.001	19	12	1	1	3	100	2254
2285	13.002	16	11	1	7	6	100	2336
2286	10.003	1	10	1	7	25	100	1698
2287	12.001	16	13	1	7	6	100	2336
2288	13.001	1	11	1	7	22	100	3336
2289	13.001	19	13	1	1	9	100	38
2290	13.001	19	12	1	1	10	100	38
2291	5.002	1	8	1	7	34	100	199
2292	13.002	1	13	1	7	21	100	1696
2293	43.002	1	8	1	2	3	100	199
2294	21.001	19	8	1	7	3	2	1118
2295	43.002	1	4	1	7	3	100	199
2296	10.004	33	8	1	2	5	100	348
2297	21.001	1	8	1	7	22	100	199
2298	5.002	1	24	1	7	22	100	199
2299	13.002	25	11	1	7	3	100	1696
1950	9.001	105	3	100	100	2	100	3043
1951	44.001	282	100	1	1	10	2	3548
1952	2.001	1	1	1	100	2	31	442
1953	121.001	1	4	1	7	105	100	2430
6830	103.002	10	14	100	1	4	100	1771
1954	2.002	89	14	100	1	26	100	1203
1956	2.008	10	100	1	7	15	100	309
1957	43.002	10	13	100	7	6	100	1340
1958	2.002	54	100	100	100	2	100	1958
1959	14.001	14	3	100	1	3	100	3400
1960	5.005	257	14	1	7	3	100	1387
1961	60.001	1	8	1	38	3	100	1143
1962	2.001	10	100	1	1	22	100	1271
1963	100.001	29	100	100	100	7	100	352
1964	2.001	9	3	100	100	3	2	301
1965	103.004	38	12	1	7	55	100	247
1966	14.001	10	13	1	7	7	35	1586
1967	43.002	284	1	100	7	6	100	1340
1968	2.001	283	14	1	100	1	100	754
1969	5.002	222	1	1	7	3	100	1615
1970	2.001	39	1	100	7	4	2	168
1971	2.001	39	1	100	7	4	31	168
1972	2.001	171	100	100	1	90	100	6857
1973	19.001	54	14	100	100	1	100	1645
1974	5.002	19	21	100	1	22	100	Ungroupable
1975	13.001	19	3	1	7	9	100	38
1976	2.002	10	14	100	7	26	100	1203
1977	43.004	25	13	1	2	45	100	2467
1980	2.002	285	1	100	7	4	100	427
1981	93.001	25	3	100	100	100	1	2655
1982	2.001	39	11	100	7	4	35	168
1983	2.002	89	14	100	7	59	100	719
1984	22.001	50	3	100	100	1	2	3111
1985	124.001	18	4	100	100	100	100	7371
1986	130.001	33	100	100	100	99	34	Ungroupable
1987	124.001	16	13	1	100	101	34	Ungroupable
1988	130.001	272	13	15	100	99	34	Ungroupable
1989	19.007	14	100	1	7	97	34	Ungroupable
1990	2.023	10	47	12	1	2	28	Ungroupable
1991	5.002	22	8	1	7	3	1	2267
1992	19.007	271	100	1	36	100	34	Ungroupable
1993	2.001	39	11	100	100	100	1	213
1857	34.007	122	1	100	7	6	100	1340
1994	15.001	3	44	100	100	2	2	1995
1995	15.001	3	44	100	100	2	100	1400
1996	2.001	25	42	100	100	100	1	240
1997	2.001	9	44	100	100	100	100	63
1998	2.001	9	44	100	100	1	100	63
1999	2.001	10	100	100	100	7	100	352
2001	67.001	9	1	100	100	100	100	63
2002	2.007	9	1	100	100	100	2	63
2004	14.001	10	44	100	100	7	100	352
2007	70.001	54	100	100	3	100	100	Ungroupable
2008	2.011	82	3	100	100	2	100	6542
2009	73.001	25	3	100	100	100	100	301
2010	2.012	10	14	100	100	7	100	352
2011	76.001	25	1	100	100	2	2	3043
2012	79.001	25	3	100	100	100	2	2655
2013	1.004	5	100	100	100	1	100	20
2014	1.007	5	100	100	100	1	100	20
2015	1.007	5	100	100	14	1	100	20
2016	62.001	3	44	100	100	2	2	Ungroupable
2017	103.003	1	8	1	1	3	100	127
2018	2.006	14	100	100	100	1	100	1645
2019	19.001	5	14	1	7	15	100	309
2020	103.002	38	13	1	7	1	100	1096
2021	103.002	38	12	1	7	26	100	247
2022	12.001	15	13	100	100	1	100	85
2023	13.001	35	100	1	100	7	100	311
2024	14.001	5	13	1	7	20	100	1586
2025	14.001	10	1	100	100	19	10	352
2145	2.002	15	4	1	37	7	100	2039
2026	14.001	14	1	100	100	1	100	42
2028	14.001	15	100	100	100	7	100	352
2146	19.001	14	100	100	100	1	100	1645
2029	14.001	10	19	100	100	1	100	42
2174	2.001	39	14	100	7	4	100	168
2035	2.002	10	100	100	100	2	100	1958
2176	14.010	10	1	100	100	2	100	Ungroupable
2036	2.002	10	14	1	100	1	100	1458
2177	78.002	122	1	1	7	3	100	1615
2037	2.002	10	4	100	100	7	100	352
2191	5.002	222	14	1	43	3	100	1387
2038	2.002	15	4	1	100	7	100	2041
2040	2.002	15	3	100	100	7	100	2041
2205	14.011	47	3	1	7	118	100	433
2041	2.002	15	100	100	100	7	100	352
2042	2.002	15	100	100	100	1	100	1958
2206	34.007	40	1	100	7	4	100	1124
2043	14.001	29	13	100	100	1	100	178
2047	2.001	15	1	1	100	1	100	442
2233	100.014	18	39	1	7	81	100	Ungroupable
2049	2.001	24	3	100	100	2	100	63
2300	18.001	19	8	1	7	8	100	428
2050	2.002	19	4	1	100	2	100	1115
2301	21.001	19	10	1	7	3	100	1118
2051	34.001	3	1	100	100	2	100	307
2302	18.001	19	13	1	7	3	100	428
2053	14.001	15	1	100	100	7	100	178
2303	21.001	1	9	1	7	22	100	1118
2304	21.001	16	8	1	7	8	100	1118
2305	13.002	25	13	1	7	3	100	1696
2306	18.001	1	11	1	7	25	2	1695
2307	43.002	1	8	1	7	3	2	345
2308	43.001	1	4	1	7	8	100	199
2309	10.001	33	8	1	7	5	100	348
2310	13.001	19	8	1	21	3	100	1179
2311	21.001	1	10	1	7	25	100	1118
2312	2.001	1	11	1	1	52	6	2450
2313	10.001	1	8	1	1	47	100	127
2314	10.003	1	4	1	7	47	100	1698
2315	43.001	1	4	1	7	15	6	3292
2316	11.001	1	4	1	40	15	100	929
2317	43.004	1	4	1	1	22	100	2436
2318	43.001	1	13	1	7	8	100	514
2319	12.001	19	12	1	7	23	100	895
2320	43.001	1	8	1	7	15	6	514
2321	10.001	33	9	1	2	21	100	348
2322	13.002	1	51	1	7	3	100	199
2323	21.001	1	8	1	7	39	100	199
2324	43.001	1	8	1	1	23	100	127
2325	18.002	25	8	1	2	24	100	501
2326	43.001	1	11	1	1	22	100	124
2327	13.001	47	8	1	7	3	100	199
2328	43.002	19	12	1	1	3	1	Ungroupable
2329	43.004	1	11	1	1	22	100	124
2330	19.005	19	13	1	7	21	100	798
2331	21.001	1	4	1	7	48	100	1118
2332	12.001	22	8	1	34	5	100	2473
2333	21.001	36	9	1	7	8	100	2758
2334	43.002	19	10	1	7	3	1	2457
2335	13.002	47	12	1	7	3	100	1696
2336	43.001	16	11	1	7	6	100	2336
2337	34.006	36	3	1	7	4	100	2337
2338	18.001	47	11	1	7	3	100	428
2339	5.002	25	46	1	7	3	100	199
2340	10.003	47	12	1	7	10	100	3805
2341	2.002	19	13	1	1	53	100	798
2342	43.004	19	17	1	7	3	100	73
2343	21.003	47	12	1	7	3	100	346
2344	18.001	36	11	1	2	24	100	501
2345	21.001	47	17	1	7	3	100	1687
2346	18.001	36	12	1	7	24	100	501
2347	13.001	19	8	1	7	52	100	1179
2348	18.001	36	21	1	2	24	100	501
2349	10.001	33	46	1	7	5	100	348
2350	13.001	25	4	1	7	53	100	497
2351	19.001	47	13	1	7	21	100	2351
2352	18.001	47	14	1	7	21	100	221
2027	14.001	15	100	100	100	1	100	352
2030	14.001	10	12	100	100	1	100	42
2031	14.001	10	13	1	7	20	100	1586
2032	14.001	10	14	100	100	19	10	2033
2033	14.001	10	100	100	100	19	10	352
2034	2.002	10	100	100	100	1	100	1958
2039	2.002	15	4	100	100	7	100	2041
2044	19.001	38	100	1	7	1	100	309
2045	19.001	69	13	1	7	1	100	1096
2046	19.001	15	100	1	7	1	100	309
2048	2.001	170	4	1	100	1	100	2047
2052	4.001	36	100	1	100	2	100	928
2054	14.001	49	3	100	7	3	100	801
2055	14.001	144	1	100	100	7	100	178
2056	19.001	5	14	100	7	15	100	2057
2057	19.001	5	100	1	7	15	100	309
2058	19.001	15	100	100	7	15	100	309
2059	19.001	15	13	1	7	20	6	268
2060	19.001	15	1	100	100	7	100	178
2061	19.001	10	1	1	7	15	100	309
2062	19.001	69	1	1	7	15	100	309
2063	19.001	261	1	1	7	3	100	3099
2064	19.001	10	13	1	7	20	100	455
2065	19.001	10	4	1	7	15	100	309
2066	19.001	24	21	1	7	15	100	309
2067	19.001	35	13	1	7	20	100	1096
2068	19.001	35	13	1	7	3	100	1096
2069	19.001	38	13	1	7	26	100	309
2070	19.001	38	11	1	7	26	100	567
2071	19.001	38	13	1	7	38	100	309
2072	19.001	48	100	1	7	15	100	309
2073	19.001	88	13	1	7	3	100	1096
2074	19.001	88	13	1	7	15	100	309
2075	19.001	88	3	1	7	15	100	309
2076	19.001	88	100	1	7	15	100	309
2077	34.001	1	13	1	1	3	100	90
2078	14.001	289	1	100	100	7	100	178
2079	2.006	48	100	100	35	19	10	2092
2080	2.002	38	3	1	7	15	100	309
2081	2.001	10	1	100	100	100	6	63
2082	2.001	10	1	100	100	100	100	63
2083	2.001	9	1	100	1	3	2	3420
2084	2.002	19	11	1	7	3	2	73
2085	2.002	19	100	100	7	18	100	719
2086	2.002	50	4	100	100	7	100	2041
2087	2.002	50	13	1	100	1	100	7008
2088	2.002	54	13	1	7	20	100	268
2089	2.002	88	100	1	100	19	100	2973
2090	2.006	14	9	100	100	1	100	2018
2091	2.006	14	8	100	100	1	100	2018
2092	2.006	48	100	100	100	19	10	2033
2093	2.006	49	3	100	7	20	100	801
2094	2.006	49	14	100	7	20	100	1308
2095	2.006	228	100	100	100	19	100	Ungroupable
2096	2.008	19	19	1	2	10	2	2098
2097	2.008	19	19	1	14	10	100	2098
2098	2.008	19	19	1	2	10	100	2098
2099	21.001	49	3	100	7	20	100	801
2100	22.001	14	3	100	100	1	100	239
2101	22.001	15	100	100	100	1	100	84
2102	22.001	15	100	100	7	15	100	870
2103	22.001	88	3	1	7	15	100	2076
2104	22.001	88	100	100	100	19	100	2117
2105	34.001	1	100	1	100	3	100	90
2106	34.001	1	100	1	7	3	100	199
2107	34.001	10	1	100	100	7	10	3901
2108	34.001	1	4	1	1	3	100	90
2109	34.001	1	11	1	1	3	12	90
2110	34.001	1	31	100	1	3	100	90
2111	34.001	10	29	1	1	3	100	90
2112	34.001	48	100	1	1	3	100	90
2113	34.001	50	11	1	1	3	100	90
2114	68.001	54	3	100	100	7	100	468
2147	10.001	38	12	1	7	26	100	567
2115	68.001	10	100	100	100	19	100	352
2149	2.032	16	1	1	100	2	100	442
2116	68.001	25	3	100	100	1	100	239
2152	14.001	130	1	100	100	2	100	520
2117	68.001	88	100	100	100	19	100	2117
4525	43.002	122	100	1	7	6	100	1340
2118	68.001	203	14	100	100	2	100	3597
2153	124.001	33	9	1	2	5	100	348
2119	19.001	89	13	1	7	20	39	268
2155	2.002	290	14	1	100	1	100	2036
2120	22.001	15	3	100	43	1	100	3111
2156	2.002	19	46	100	1	18	100	2209
2121	43.002	206	100	1	7	6	100	1340
2158	2.001	24	44	100	100	2	100	55
2122	9.001	10	14	100	100	19	10	2033
2159	19.001	10	19	100	7	15	100	455
2123	9.001	14	100	100	100	1	100	1645
2179	13.001	19	8	1	1	9	31	38
2181	34.001	19	8	1	1	1	100	194
2182	14.001	10	14	100	100	1	37	42
2184	2.001	39	11	100	7	10	100	168
2192	2.001	9	8	100	100	1	100	63
2194	2.001	9	44	100	100	1	2	439
2195	2.002	123	14	100	100	17	100	3597
2207	34.007	40	100	100	7	100	100	1124
2234	100.014	18	100	1	7	81	100	1632
2235	140.001	277	13	100	1	88	100	4735
2353	18.001	47	14	1	7	21	6	1111
2354	21.001	22	11	1	1	52	100	5063
2355	19.010	47	13	1	7	21	100	2351
2356	21.001	47	12	1	7	21	100	221
2482	18.001	307	8	1	1	3	100	127
2483	10.003	312	12	1	7	21	100	1464
2485	13.002	47	11	1	7	21	100	2351
2486	2.002	40	100	100	1	34	40	2480
2488	13.001	318	17	1	7	8	100	Ungroupable
2489	21.001	1	10	1	7	34	100	1118
2491	21.001	19	12	1	1	31	100	1142
2492	43.001	1	52	1	7	110	100	3293
2493	13.001	19	55	1	7	116	100	2530
2498	103.001	1	52	1	1	117	100	1463
2499	10.003	22	4	1	1	52	100	2499
2500	13.001	22	8	1	34	52	100	2473
2501	103.002	1	11	1	7	3	100	2431
2502	2.002	319	8	1	7	3	1	73
2503	22.001	1	8	1	1	3	100	127
2504	5.002	1	54	1	7	3	100	199
2505	21.001	309	4	1	7	8	100	1144
2506	5.002	1	21	1	7	47	100	199
2507	13.002	19	12	1	7	3	100	1696
2508	21.001	1	12	1	34	93	100	1687
2509	13.002	19	12	1	7	93	100	1707
2510	13.001	25	8	1	7	6	100	497
2511	43.002	122	100	100	7	3	100	1340
2512	109.001	267	8	1	7	3	100	199
2513	13.001	264	3	1	1	9	100	38
2514	14.001	82	100	100	100	7	100	352
2515	14.001	139	13	100	7	98	100	1662
2516	19.001	265	14	1	7	55	100	1223
2517	19.001	261	11	1	7	1	100	1560
2518	2.001	19	3	1	1	3	100	264
2519	2.001	269	1	100	100	2	100	55
2520	2.001	266	13	100	1	22	100	3574
2521	2.002	40	100	100	7	55	6	427
2522	2.002	124	3	100	7	4	6	1661
2523	2.002	54	14	1	5	2	100	3597
2524	22.001	263	100	100	100	7	100	2028
2525	22.001	268	1	100	100	2	100	190
2526	44.001	16	49	1	1	10	100	158
2527	93.002	15	1	100	100	7	100	178
2528	13.001	19	55	11	1	116	100	38
2529	21.001	1	55	10	7	3	100	1118
2530	13.001	19	55	1	1	116	100	38
2531	21.001	1	55	1	7	3	100	199
2532	2.002	22	11	1	7	3	100	73
6831	12.001	89	1	100	100	4	100	1139
2533	18.001	25	37	1	1	3	100	2257
2534	13.001	1	11	1	7	3	100	90
2535	10.001	33	12	1	7	5	100	348
2536	10.001	22	8	1	34	93	100	2473
2537	2.002	89	100	100	7	26	100	719
2538	2.002	124	100	100	7	4	6	427
2539	13.002	1	8	1	7	128	100	199
2540	13.002	1	12	1	7	128	100	1696
2541	13.001	1	9	1	7	22	42	2288
2542	10.003	315	8	1	7	21	100	221
2543	9.001	192	8	1	7	35	100	4103
2544	18.001	19	11	1	7	3	41	1695
2545	34.020	64	100	1	1	3	100	267
2546	14.001	320	3	100	100	2	100	520
2547	34.021	1	11	1	1	3	100	90
2548	22.008	25	100	100	100	1	100	190
2549	5.002	1	17	1	1	3	100	127
2550	11.001	25	21	1	100	2	100	142
2551	5.002	22	24	1	1	3	100	127
2552	5.002	69	21	1	1	3	100	127
2553	15.001	60	21	100	100	2	100	1400
2554	10.001	19	17	1	5	2	100	15
2555	74.001	3	1	100	100	2	100	307
2556	100.002	161	3	100	13	2	100	Ungroupable
2557	100.003	80	100	100	100	1	100	20
2558	22.001	19	31	1	100	2	15	1115
2559	9.001	10	13	1	7	7	100	1586
2560	14.001	99	14	100	100	7	100	352
2561	9.001	10	100	1	7	22	100	1054
2562	14.001	102	100	1	1	49	100	1054
2563	2.002	2	17	1	1	3	100	401
2564	5.002	2	21	1	1	3	100	127
2565	2.001	9	17	100	100	100	100	63
2566	13.002	1	4	1	7	15	2	929
2567	12.002	1	8	1	1	3	100	127
2568	19.001	38	41	1	7	20	100	1096
2569	19.001	120	12	1	7	43	100	3311
2571	44.001	16	10	1	18	10	100	158
2572	2.001	121	13	1	7	3	100	517
2573	2.001	25	42	100	19	100	1	Ungroupable
2574	10.001	19	8	3	2	5	100	348
2575	1.006	18	100	100	100	2	100	1958
2576	43.002	122	12	100	7	6	100	1340
2577	14.001	54	100	100	100	2	100	1958
2578	5.002	1	8	1	7	25	100	199
2579	2.002	54	1	100	1	4	100	5817
2580	9.001	25	100	100	100	2	100	190
2581	2.002	47	12	1	7	17	100	433
2582	2.002	225	14	100	1	4	100	577
2583	12.004	1	3	1	1	3	100	127
2584	34.001	1	11	9	1	3	100	90
2585	2.008	131	12	100	2	51	100	2599
2586	14.001	5	13	100	100	7	100	352
2587	15.001	60	13	100	100	2	100	1400
2588	14.001	10	100	1	7	26	100	455
2589	2.024	133	3	1	7	48	100	1839
2590	2.002	1	100	1	7	6	100	2973
2591	100.007	18	14	100	100	1	8	17
2593	2.002	40	14	100	7	4	100	427
2594	2.002	42	100	2	10	2	100	1958
2596	2.002	40	11	100	7	4	2	427
2597	2.001	154	3	100	1	22	100	4825
2598	19.001	1	12	1	7	55	100	247
2599	2.008	131	13	1	2	51	100	2599
2600	19.001	25	1	1	7	51	100	1359
2601	19.001	40	13	100	7	4	100	426
2602	44.001	155	10	1	1	10	100	158
2603	2.014	156	13	1	7	20	100	1595
2604	19.001	10	100	100	1	59	100	1271
2605	9.001	5	1	100	100	100	100	63
2606	9.001	157	10	1	1	60	100	Ungroupable
2607	34.001	158	11	1	1	3	2	90
2608	14.001	10	19	10	100	7	100	352
2609	14.001	9	3	100	100	2	100	520
2610	2.002	89	11	100	7	4	100	719
2611	5.002	122	14	3	7	3	100	1387
2612	2.002	89	44	100	7	4	100	719
2613	2.002	57	100	100	7	6	100	1340
2614	2.002	40	100	100	1	20	100	427
2615	70.001	10	13	100	100	1	100	42
2617	43.002	122	44	100	7	6	100	1340
2618	14.001	240	100	100	7	3	100	6761
2619	43.002	38	13	100	7	26	100	2069
2620	2.001	9	3	100	100	1	100	301
2621	3.001	40	13	100	7	4	100	426
2622	5.002	226	100	1	1	3	100	127
2623	14.001	35	100	1	100	1	100	4386
2624	2.001	227	4	1	100	1	100	2047
2625	3.004	88	8	100	100	19	100	2117
2626	2.002	201	8	100	1	4	100	1771
2627	2.006	1	100	100	100	19	100	2724
2628	2.001	27	44	100	100	100	2	58
2629	14.001	69	14	100	100	1	6	1458
2630	2.002	201	100	100	1	4	100	1627
2631	12.001	35	100	1	100	7	100	311
2632	2.001	50	12	1	100	1	100	2047
2633	12.001	1	13	1	1	20	100	26
2634	3.004	88	8	100	100	1	100	Ungroupable
2635	103.002	38	13	1	7	15	100	309
2636	22.001	15	3	1	100	1	100	3111
2637	19.001	228	12	1	7	15	100	309
2638	2.002	54	13	1	7	1	100	2088
2639	14.001	296	3	100	7	20	2	217
2640	19.001	261	13	1	7	1	100	1096
2641	2.002	15	44	100	100	7	100	2041
2642	2.002	10	54	100	7	18	100	Ungroupable
2643	22.001	19	31	1	100	2	100	1115
2644	81.001	3	44	100	100	2	100	307
2645	15.001	60	100	2	100	2	100	1400
2646	19.001	47	12	1	7	26	100	567
2647	2.002	216	11	100	7	4	2	4512
2648	19.001	38	44	1	7	26	100	567
2649	2.002	225	14	100	1	3	100	625
2650	2.002	105	44	100	100	2	100	1958
2651	2.002	40	13	2	7	4	100	426
2652	14.001	130	3	2	100	2	100	520
2653	2.001	1	44	3	100	2	100	442
2654	5.002	10	3	1	1	3	100	127
2655	93.001	25	3	100	100	100	100	301
2656	2.002	40	44	1	7	4	100	426
2657	2.002	1	1	1	100	2	100	442
2658	15.001	3	44	100	100	56	100	1995
2659	19.001	38	12	1	15	26	100	567
2660	14.001	10	14	100	7	22	100	1362
2661	14.001	57	13	100	1	2	100	3442
2662	18.001	1	12	1	7	15	2	7044
2663	34.001	1	11	1	1	66	100	90
2664	19.001	54	3	100	100	1	100	1645
2665	9.001	229	19	1	1	22	100	1623
2666	9.001	10	13	1	7	49	100	1586
2667	22.001	18	100	1	1	49	100	1054
2668	19.001	54	100	100	1	49	100	559
2669	14.001	230	100	1	1	49	100	1054
2670	2.002	54	13	100	7	18	100	426
2671	22.001	36	5	1	100	1	100	Ungroupable
2672	34.001	19	11	1	5	2	100	15
2673	22.001	10	100	100	100	7	100	352
2674	19.001	10	3	100	5	7	100	468
2675	14.001	10	3	100	3	2	100	520
2676	100.001	33	16	1	2	5	100	348
2677	10.001	25	8	1	2	3	100	348
2678	10.001	1	100	1	2	5	100	348
2679	2.002	33	11	1	2	5	100	348
2680	5.002	1	100	1	1	5	37	267
2681	10.001	232	11	1	1	3	100	90
2682	10.001	267	11	1	1	3	100	90
2683	101.001	25	8	1	1	4	100	1229
2684	10.001	18	16	1	1	3	100	22
2685	10.001	33	8	1	2	3	100	348
2686	10.001	1	8	1	1	3	2	127
2687	10.001	1	100	1	1	3	100	90
2688	5.002	54	13	1	7	3	100	199
2689	72.001	1	11	1	1	23	100	90
2690	10.001	1	8	1	1	3	6	127
2691	10.001	25	11	1	2	5	100	348
2692	71.001	1	17	1	1	3	100	127
2693	101.001	25	100	1	2	5	100	1236
2694	10.001	1	8	1	1	4	100	127
2695	5.002	1	11	1	23	5	100	124
2696	5.002	1	100	1	23	3	100	127
2697	10.001	232	26	1	1	3	100	319
2698	10.001	1	11	1	1	47	100	90
2699	2.002	304	14	100	1	18	100	1320
2700	2.002	1	9	1	1	3	100	127
2701	2.001	1	100	1	3	37	100	Ungroupable
2702	43.001	1	8	1	3	37	100	514
2703	2.001	1	8	1	3	37	100	Ungroupable
2704	2.033	123	14	1	100	100	100	754
2705	34.001	174	100	100	7	20	100	7319
2706	2.001	40	1	100	100	100	100	63
2707	2.001	40	44	100	100	100	100	63
2708	3.001	222	14	1	7	3	100	1387
2709	5.002	122	54	1	7	3	100	1387
2710	2.002	14	100	100	100	115	100	Ungroupable
2711	2.001	18	19	100	1	59	100	Ungroupable
2712	2.001	1	14	1	100	2	100	442
2713	43.002	89	4	100	7	2	100	Ungroupable
2714	2.022	19	100	1	25	3	100	73
2715	2.001	39	44	100	7	4	100	168
2716	2.006	168	44	1	7	1	100	Ungroupable
2717	9.001	10	13	1	1	22	100	958
2718	19.001	19	14	100	7	3	100	2718
2719	19.001	47	3	100	1	17	100	Ungroupable
6832	12.001	22	1	1	34	93	100	2473
2721	9.001	1	1	100	1	22	100	958
2722	14.002	29	44	100	100	7	7	524
2723	14.001	54	14	100	1	22	100	1362
2724	2.002	1	100	100	100	2	100	1958
2725	2.002	50	44	100	100	7	2	Ungroupable
2726	2.002	10	13	100	1	26	100	1771
2727	5.002	122	44	1	7	3	100	1387
2728	2.002	50	1	100	100	7	2	Ungroupable
2729	19.001	163	12	100	7	20	100	7319
2730	5.002	122	8	1	7	15	100	199
2731	2.001	39	44	100	100	100	100	63
2732	5.002	54	14	1	7	3	100	1387
2733	2.008	131	44	100	2	51	100	1353
2734	2.001	9	44	100	1	4	100	65
2735	13.001	172	8	1	1	9	100	38
2736	17.001	16	12	1	7	23	100	3800
2737	18.001	1	52	1	7	3	100	199
2738	7.001	1	11	1	7	22	100	2288
2739	43.004	25	13	1	2	10	1	2467
2740	18.001	36	37	1	2	24	100	501
2741	44.001	16	8	1	1	10	100	158
2742	10.001	19	17	1	2	5	100	348
2743	43.002	19	12	1	7	3	1	2753
2744	2.002	19	12	1	7	8	100	73
2745	18.001	36	8	1	2	1	100	501
2747	22.001	16	8	1	7	3	100	73
2748	43.002	19	4	1	2	3	100	2457
2749	9.001	19	8	1	7	3	100	73
2750	9.001	19	8	1	7	4	100	73
2751	12.001	1	12	1	1	23	100	26
2752	13.001	19	8	1	1	10	100	38
2753	43.002	1	12	1	7	3	100	199
2754	13.002	1	4	1	7	3	100	199
2755	43.004	47	13	1	7	21	100	2351
2756	21.001	19	7	1	7	3	100	199
2757	2.002	36	8	1	7	39	2	Ungroupable
2758	21.001	36	12	1	7	8	100	1142
2759	43.002	16	11	1	7	41	100	Ungroupable
2760	22.001	16	10	1	7	3	100	Ungroupable
2761	13.001	19	8	1	1	100	100	38
2762	13.001	47	13	1	7	21	100	2351
2763	13.002	47	13	1	7	21	100	2351
2764	43.002	1	8	1	1	1	100	37
2765	13.001	1	11	1	1	22	100	90
2766	43.002	1	8	1	7	8	100	199
2767	43.004	25	13	1	2	3	100	2467
2768	13.002	19	13	1	21	3	100	2433
2769	13.002	16	8	1	7	3	100	199
2770	43.002	19	11	1	2	3	100	5078
2771	21.001	16	8	1	7	3	100	199
2772	13.001	19	4	1	1	31	100	38
2773	13.001	16	13	1	7	3	100	1179
2774	9.001	19	12	1	7	9	100	1216
2775	12.001	19	8	1	7	3	100	73
